epoch,batch_loss,train_mse,test_mse
1,0.07896842832605426,0.004810195881873369,0.9384647607803345
5,0.002404507464514329,0.0022241047117859125,0.7514253258705139
10,0.00131438994475712,0.0011777000036090612,0.5453466773033142
15,0.0006883925346371073,0.0005764160887338221,0.40201109647750854
20,0.00025771549777486,0.00023289668024517596,0.3068678081035614
25,0.00011322453344921366,9.826540190260857e-05,0.2598278224468231
30,5.189633660707981e-05,6.403812585631385e-05,0.23007553815841675
35,3.0125525462118767e-05,2.8274040232645348e-05,0.21062931418418884
40,2.3206635607773653e-05,2.0388630218803883e-05,0.20302098989486694
45,1.885111795183128e-05,1.926230288518127e-05,0.1983787715435028
50,1.9058093899869935e-05,1.7267195289605297e-05,0.1941184103488922
55,1.825049485677692e-05,1.8334900232730433e-05,0.1942286491394043
60,1.977599542722321e-05,1.84666187124094e-05,0.19191402196884155
65,1.755409269977603e-05,2.117155418090988e-05,0.1918376088142395
70,1.6518898029551983e-05,1.5360146790044382e-05,0.1883106231689453
75,1.9234792769286567e-05,1.7642450984567404e-05,0.18554431200027466
80,1.8675740508255192e-05,1.526033884147182e-05,0.186198890209198
