epoch,batch_loss,train_mse,test_mse
1,0.40488947111253554,0.06105462461709976,0.2669379711151123
5,0.0006163783702784433,0.0002648003282956779,0.1475646048784256
10,4.726924117466506e-05,4.039441409986466e-05,0.1381157636642456
15,3.5227769470881096e-05,3.0502351364702918e-05,0.1384950578212738
20,2.7435081882196337e-05,2.2380992959369905e-05,0.13880571722984314
25,2.1897194878525064e-05,1.8349348465562798e-05,0.1402989625930786
30,1.609603238578599e-05,1.4893636034685187e-05,0.1395317018032074
35,1.5266196337156893e-05,1.4055554856895469e-05,0.13760986924171448
40,1.5040740925961962e-05,2.0896857677144e-05,0.13625089824199677
45,1.4210056178853847e-05,1.0361890417698305e-05,0.1346445381641388
50,9.519471579831308e-06,8.166476618498564e-06,0.1308622509241104
55,8.221762457721456e-06,1.0050795935967471e-05,0.1286931335926056
60,8.515483596756194e-06,9.157173735729884e-06,0.1263769567012787
65,6.676842951072524e-06,9.36382457439322e-06,0.12358654290437698
70,5.676994970389597e-06,7.336333965213271e-06,0.12108437716960907
75,4.676317320655261e-06,5.017189323552884e-06,0.11983339488506317
80,4.805270831499141e-06,5.061276169726625e-06,0.11730119585990906
